ID;Item Number;Suffix 1;Suffix 2;ItemNo;Device Type;Manufacturer;Delimiter;Part Number;Major Functions;Horizontal/Vertical;Rack/Panel;RU;Zones of Protection;Power Supply Voltage;Control Voltage;AC/DC Control Voltage;AC Current Input;AC Voltage Input;Standard Inputs 1;Standard Input Type 1;Standard Inputs 2;Standard Input Type 2;Standard Outputs 1;Standard Output Type 1;Standard Outputs 2;Standard Output Type 2;Additional Board 1;Board 1 Additional Inputs 1;Board 1 Additional Input Type 1;Board 1 Additional Inputs 2;Board 1 Additional Input Type 2;Board 1 Additional Outputs 1;Board 1 Additional Output Type 1;Board 1 Additional Outputs 2;Board 1 Additional Output Type 2;Additional Board 2;Board 2 Additional Inputs 1;Board 2 Additional Input Type 1;Board 2 Additional Inputs 2;Board 2 Additional Input Type 2;Board 2 Additional Outputs 1;Board 2 Additional Output Type 1;Board 2 Additional Outputs 2;Board 2 Additional Output Type 2;Additional Board 3;Board 3 Additional Inputs 1;Board 3 Additional Input Type 1;Board 3 Additional Inputs 2;Board 3 Additional Input Type 2;Board 3 Additional Outputs 1;Board 3 Additional Output Type 1;Board 3 Additional Outputs 2;Board 3 Additional Output Type 2;User Interface;Communications;Coil Operation Voltage;AC/DC Coil Operation Voltage;Handle Style;Spring Return/Maintain;Qty of Decks;Meter Form;Number of Phases;Number of Wires;Test Switch Arrangement;Test Switch Arrangement A;Test Switch Arrangement B;Test Switch Arrangement C;Test Switch Cover;Lamp Voltage;AC/DC Lamp Voltage;Lamp color;Lens color;Catalog cut included;Length;Length Unit;Comm Int Type 1;Comm Int Qty 1;Comm Int Type 2;Comm Int Qty 2;Comm Int Type 3;Comm Int Qty 3;Comm Int Type 4;Comm Int Qty 4;Comm Int Type 5;Comm Int Qty 5;Comm Int Type 6;Comm Int Qty 6;Comm Int Type 7;Comm Int Qty 7;Comm Int Type 8;Comm Int Qty 8;Reset;Common Material;Need to add to ACADE Cat;Need to add Footprint for ACADE;Inventory Quantity;Inventory Location;Photo on file;Itemize Price;Short Name;Status;StatusReason;WnSingleAll;WnSingleTerm;Wn2Wire;Wn3Wire;WnAWGRec;WnAWGRecAll;WnAWGRecTerms;WnTSPAll;WnTSPTerms;WnTerm;WnTermBlank;WnJumperItem;WnJumperUse;WnGround;WnOther
17;12;;;12;Clock/Comm. Proc./Revenue Meter;SEL;;0735HX00922CGXA2XX16101XX;Revenue meter;Horizontal;Panel;;;24/48V DC;48;DC;22;300;2;inputs;;;3;outputs;;;;4;inputs;;;4;outputs;;;;;;;;;;;;;;;;;;;;;;SEL ASCII, SEL LMD, SEL Fast Meter, SEL Compressed ASCII, MV-90 Translation�, Modbus� RTU/TCP, MIRRORED BITS� Communications, Telnet, DNP3 Level 2 Outstation and LAN/WAN(3), and Synchrophasors(3) Standard Communications Protocols;;;;;;Form 9 (4-wire wye;3 PTs, 3 CTs);;;;;;;;;;;;1;;;EIA-232 DB9;3;EIA-485 terminal block;1;10/100Base-T;1;IRIG terminal blocks;1;Telephone modem;1;Optical;1;;;;;;0;1;1;;;0;1;SEL-735 REVENUE METER;;;0;A01-A12, D01-D14, Z07-Z10;0;0;;0;;0;Port 4A;;0;;;;
19;3;;;3;Relay;SEL;;0587002X5X1;Current differential relay;Horizontal;Rack;2;;48/125V DC or 125V AC;48;DC;5;;2;inputs;;;5;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hard-wired Pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;1;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-587 RELAY;;;0;;0;0;;0;;0;;;0;;;;
20;4;;;4;Relay;SEL;;0351S7XHE3E5221;Overcurrent relay;Horizontal;Rack;3;;48/125V DC or 120V AC;48;DC;5;300;6;optoisolated inputs;;;6;outputs;2;high current outputs;;8;inputs;;;12;outputs;;;;;;;;;;;;;;;;;;;;;SafeLock Trip/Close pushbuttons and configurable labels;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;EIA-485 terminal block;1;10/100Base-T;2;BNC IRIG;1;USB B;1;;;;;;;;0;1;1;;;0;1;SEL-351S RELAY;;;0;;0;0;;0;;0;;;0;;;;
29;31;A;;31A;Rotary Switch;;;;Cutout & cover for Electroswitch Series 24 instrument & control switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
30;35;;;35;Rotary Switch;Electroswitch;Series 24;7805C;Lock-out relay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;DC;Oval;;5;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;Manual;0;1;1;;;0;1;ELECTROSWITCH LOCKOUT RELAY;;;0;C & F;0;0;;0;;0;;;0;;;;
31;76;;;76;Resistor/Indicating Lamp;GE;;116B6708G42A52C4;I38;104;;;104;Miscellaneous;GE;;EB27B06S;Terminal block, shorting type, 6 point, 10-32 washer head screws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;0;;;0;;;;
39;129;;;129;Panel Material;;;;Panduit, size as required;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
40;91;;;91;Miscellaneous;;;;Cantilever shelf, 14'D x 4'H, vented, 50lbs capacity, 16 guage steel;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
41;108;;;108;Miscellaneous;Mersen;;20316;1-pole fuse block, 250V, 30A, screw terminals, spring reinforced clips for Class H non-renewable fuses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
42;109;;;109;Miscellaneous;Mersen;;20317;2-pole fuse block, 250V, 30A, screw terminals, spring reinforced clips for Class H non-renewable fuses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
